Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Highland Tinamou - Nothocercus bonapartei,1,Chamicero del Perijá Proaves Reserve,CO-CES,05 Feb 2015,L3054544,S22212068
2,Hooded Tinamou - Nothocercus nigrocapillus,1,Santuario Historico Machu Picchu--Machu Picchu Ruinas (Valqui B3.2),PE-CUS,08 Dec 2013,L1004819,S15941019
3,Gray Tinamou - Tinamus tao,1,Erika Lodge,PE-MDD,31 Jul 2012,L1532805,S11299277
4,Black Tinamou - Tinamus osgoodi,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,02 Oct 2015,L599445,S25552365
5,Great Tinamou - Tinamus major,1,Manú Learning Centre--Lodge,PE-MDD,12 Jun 2012,L1599931,S11037552
6,White-throated Tinamou - Tinamus guttatus,1,Rio Madre de Dios--Isla Rolin,PE-MDD,04 Dec 2013,L2458118,S15894560
7,Cinereous Tinamou - Crypturellus cinereus,,Erika Lodge,PE-MDD,06 May 2012,L1532805,S10700794
8,Little Tinamou - Crypturellus soui,1,Manú Learning Centre--Lodge,PE-MDD,12 Jun 2012,L1599931,S11037551
9,Brown Tinamou - Crypturellus obsoletus,,Cocha Machuhuasi,PE-MDD,12 Aug 2012,L9403218,S11340792
10,Undulated Tinamou - Crypturellus undulatus,,Cocha Machuhuasi,PE-MDD,14 Jul 2012,L9403218,S11189730
11,Pale-browed Tinamou - Crypturellus transfasciatus,2,Chanrro,PE-PIU,20 Aug 2016,L4886531,S31307402
12,Brazilian Tinamou - Crypturellus strigulosus,1,Pantiacolla Lodge,PE-MDD,27 Oct 2015,L2372696,S25713971
13,Black-capped Tinamou - Crypturellus atrocapillus,,Carretera a Manú--Pilcopata a Atalaya (500-600m),PE-CUS,13 Jul 2012,L1004837,S11189688
14,Variegated Tinamou - Crypturellus variegatus,1,Manú Wildlife Center (Valqui A5.1),PE-MDD,06 Aug 2014,L599450,S19608635
15,Bartlett's Tinamou - Crypturellus bartletti,,PN Manú--Rio Manú,PE-MDD,01 Nov 2012,L815603,S12201172
16,Small-billed Tinamou - Crypturellus parvirostris,1,Puerto Maldonado--Camino Chorrillos,PE-MDD,09 Nov 2016,L2523392,S32446509
17,Tataupa Tinamou - Crypturellus tataupa,2,"PE-San Martin - -6.5800x-76.3007 - Jun 19, 2013, 6:21 PM",PE-SAM,17 Jun 2013,L2240361,S14473595
18,Taczanowski's Tinamou - Nothoprocta taczanowskii,1,Carretera 28B--Peñas,PE-CUS,03 Sep 2014,L512697,S20401942
19,Ornate Tinamou - Nothoprocta ornata,1,Ondores (pueblo y vecindad),PE-JUN,09 Jun 2015,L664973,S23880489
20,Andean Tinamou - Nothoprocta pentlandii,1,Cusco--Cusco--Llaullipata (private reserve),PE-CUS,24 Nov 2011,L1437847,S10503458
21,Puna Tinamou - Tinamotis pentlandii,1,Quebrada Patapampa,PE-ARE,10 Jun 2018,L7555358,S46466565
22,Horned Screamer - Anhima cornuta,1,Cocha Machuhuasi,PE-MDD,14 Jul 2012,L9403218,S11189730
23,Northern Screamer - Chauna chavaria,50,Palermo--Camino Km 4,CO-MAG,15 Feb 2014,L2141044,S17048062
24,White-faced Whistling-Duck - Dendrocygna viduata,4,Piscifactoría La Cachuela,PE-MDD,28 Nov 2014,L844529,S21344508
25,Black-bellied Whistling-Duck - Dendrocygna autumnalis,1,PN Manú--Rio Manú,PE-MDD,27 Aug 2013,L815603,S15142710
26,Fulvous Whistling-Duck - Dendrocygna bicolor,30,Palermo--Camino Km 4,CO-MAG,15 Feb 2014,L2141044,S17048062
